NOME,PRECO,CATEGORIA,AVALIACAO,DISPONIBILIDADE,DATA_COLETA
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK ACER ASPIRE 5 AMD RYZEN75700U 16GB RAM SSD 512GB 156 FHD IPS AMD RADEON LINUX PRATA  A51545R74N,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
,,NOTEBOOK,,INDISPONIVEL,2025-09-22
,3299.0,NOTEBOOK,,EM ESTOQUE,2025-09-22
,,NOTEBOOK,,INDISPONIVEL,2025-09-22
NOTEBOOK LENOVO IDEAPAD 1 15AMN7 AMD RYZEN 5 7520U 8GB 512GB SSD 156 WINDOWS 11  82X5000NBR CLOUD GREY,2304.72,NOTEBOOK,,EM ESTOQUE,2025-09-22
NOTEBOOK LENOVO IDEAPAD 1 15AMN7 AMD RYZEN 5 7520U 8GB 512GB SSD 156 WINDOWS 11  82X5000NBR CLOUD GREY,2304.72,NOTEBOOK,,EM ESTOQUE,2025-09-22
,2304.72,NOTEBOOK,,EM ESTOQUE,2025-09-22
,,NOTEBOOK,,INDISPONIVEL,2025-09-22
,2304.72,NOTEBOOK,,EM ESTOQUE,2025-09-22
